GISJOIN,GISJOIN2020,YEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,MEDIAN_HOUSE_VALUE,MEDIAN_GROSS_RENT,TOTAL_POP,RACE_WHITE,RACE_BLACK,RACE_INDIG,RACE_AAPI,RACE_MULTI,PROP_AAPI,INCOME1,INCOME2,INCOME3,INCOME4,INCOME5,INCOME6,INCOME7,INCOME8,INCOME9,INCOME10,HOUSING_UNITS,MED_HH_INCOME,COLLEGE_DEGREE
G11000100058,G1100010005801,1980,District Of Columbia,11,District Of Columbia,001,0058,95000,0,1157,221,384,0,480,,0.414866033,251,69,70,0,30,5,0,15,7,13,549,9495,262
G11000100058,G1100010005801,1990,District Of Columbia,11,District Of Columbia,001,0058,225000,171,787,91,161,3,532,,0.675984752,124,28,69,15,0,15,0,10,0,8,294,11312,66
G1100010005800,G1100010005801,2000,District Of Columbia,11,District Of Columbia,001,005800,454200,1086,1470,741,203,2,504,20,0.342857143,186,93,81,13,21,8,17,57,115,264,1159,40644,540
G1100010005800,G1100010005801,2008-2012,District Of Columbia,11,District Of Columbia,001,005800,480500,2001,2678,,,,,,,88,26,0,5,36,57,28,68,170,1210,,123500,1926
G1100010005801,G1100010005801,2018-2022,District Of Columbia,11,District Of Columbia,001,005801,587500,2580,1775,,,,,,,119,53,19,0,0,8,7,9,57,901,,129529,1216
G1100010005800,G1100010005801,2010,District Of Columbia,,District Of Columbia,001,005800,,,2830,1806,265,7,659,93,0.232862191,,,,,,,,,,,2306,,
G1100010005801,G1100010005801,2020,District Of Columbia,,District Of Columbia,001,005801,,,1672,951,82,1,484,154,0.289473684,,,,,,,,,,,1312,,
G11000100058,G1100010005802,1980,District Of Columbia,11,District Of Columbia,001,0058,95000,0,1157,221,384,0,480,,0.414866033,251,69,70,0,30,5,0,15,7,13,549,9495,262
G11000100058,G1100010005802,1990,District Of Columbia,11,District Of Columbia,001,0058,225000,171,787,91,161,3,532,,0.675984752,124,28,69,15,0,15,0,10,0,8,294,11312,66
G1100010005800,G1100010005802,2000,District Of Columbia,11,District Of Columbia,001,005800,454200,1086,1470,741,203,2,504,20,0.342857143,186,93,81,13,21,8,17,57,115,264,1159,40644,540
G1100010005800,G1100010005802,2008-2012,District Of Columbia,11,District Of Columbia,001,005800,480500,2001,2678,,,,,,,88,26,0,5,36,57,28,68,170,1210,,123500,1926
G1100010005802,G1100010005802,2018-2022,District Of Columbia,11,District Of Columbia,001,005802,742800,3100,2027,,,,,,,54,14,0,54,0,62,0,7,41,1242,,179091,1608
G1100010005800,G1100010005802,2010,District Of Columbia,,District Of Columbia,001,005800,,,2830,1806,265,7,659,93,0.232862191,,,,,,,,,,,2306,,
G1100010005802,G1100010005802,2020,District Of Columbia,,District Of Columbia,001,005802,,,2145,1332,294,0,299,220,0.139393939,,,,,,,,,,,1616,,
G42010100002,G4201010000200,1980,Pennsylvania,42,Philadelphia,101,0002,36786,0,1150,367,54,0,717,,0.623478261,247,59,26,6,17,7,10,13,13,0,528,6176,142
G42010100002,G4201010000200,1990,Pennsylvania,42,Philadelphia,101,0002,106300,377,1403,189,137,0,1077,,0.76764077,291,47,16,0,8,23,8,37,68,0,437,8170,152
G4201010000200,G4201010000200,2000,Pennsylvania,42,Philadelphia,101,000200,55600,421,1362,162,74,1,1090,35,0.800293686,304,31,31,20,22,10,24,30,0,33,509,8349,195
G4201010000200,G4201010000200,2008-2012,Pennsylvania,42,Philadelphia,101,000200,261100,905,2009,,,,,,,107,23,9,49,42,106,63,74,101,369,,49928,780
G4201010000200,G4201010000200,2018-2022,Pennsylvania,42,Philadelphia,101,000200,483700,1592,3486,,,,,,,93,60,40,0,67,43,25,196,153,1009,,98994,1529
G4201010000200,G4201010000200,2010,Pennsylvania,,Philadelphia,101,000200,,,2937,711,295,3,1883,45,0.641130405,,,,,,,,,,,1285,,
G4201010000200,G4201010000200,2020,Pennsylvania,,Philadelphia,101,000200,,,3367,838,259,7,2110,153,0.626670627,,,,,,,,,,,1644,,
