NHGISCODE,GISJOIN,YEAR,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,TRACTA,NAME,AV0AA,B18AA,B18AB,B18AC,B18AD,B18AE,B70AA,B70AB,B70AC,B70AD,B70AE,B70AF,B70AG,B70AH,B70AI,B70AJ,A41AA,B70AAM,B70ABM,B70ACM,B70ADM,B70AEM,B70AFM,B70AGM,B70AHM,B70AIM,B70AJM
G1100010000100,G11000100001,1980,District of Columbia,11,110,District of Columbia,001,0010,000100,State: 11 County: 001 Tract: 1,4744,4541,93,8,78,,335,202,268,310,255,135,136,221,353,332,2802,,,,,,,,,,
G1100010000200,G11000100002,1980,District of Columbia,11,110,District of Columbia,001,0010,000200,State: 11 County: 001 Tract: 2,6104,5718,183,23,99,,203,131,207,93,149,134,79,182,187,209,1666,,,,,,,,,,
G1100010000300,G11000100003,1980,District of Columbia,11,110,District of Columbia,001,0010,000300,State: 11 County: 001 Tract: 3,5240,4917,119,7,76,,533,331,344,281,197,131,163,220,265,64,2570,,,,,,,,,,
G1100010000400,G11000100004,1980,District of Columbia,11,110,District of Columbia,001,0010,000400,State: 11 County: 001 Tract: 4,1561,1489,38,14,36,,38,35,27,35,16,38,46,42,129,174,645,,,,,,,,,,
G1100010000501,G1100010000501,1980,District of Columbia,11,110,District of Columbia,001,0010,000501,State: 11 County: 001 Tract: 5.01,2652,2412,107,15,79,,334,324,274,171,204,169,75,136,76,104,1941,,,,,,,,,,
G1100010000502,G1100010000502,1980,District of Columbia,11,110,District of Columbia,001,0010,000502,State: 11 County: 001 Tract: 5.02,3581,3289,154,0,44,,380,168,255,228,148,120,82,92,288,199,2119,,,,,,,,,,
G1100010000600,G11000100006,1980,District of Columbia,11,110,District of Columbia,001,0010,000600,State: 11 County: 001 Tract: 6,4551,4091,176,23,139,,321,214,185,216,97,147,105,215,262,260,2078,,,,,,,,,,
G1100010000701,G1100010000701,1980,District of Columbia,11,110,District of Columbia,001,0010,000701,State: 11 County: 001 Tract: 7.01,5559,5259,155,0,87,,618,529,427,415,261,282,284,195,331,291,3824,,,,,,,,,,
G1100010000702,G1100010000702,1980,District of Columbia,11,110,District of Columbia,001,0010,000702,State: 11 County: 001 Tract: 7.02,2839,2668,92,0,47,,404,463,441,266,179,188,48,104,52,14,2298,,,,,,,,,,
G1100010000801,G1100010000801,1980,District of Columbia,11,110,District of Columbia,001,0010,000801,State: 11 County: 001 Tract: 8.01,4243,4171,36,0,62,,172,153,113,128,120,187,109,149,338,413,2162,,,,,,,,,,
G1100010000802,G1100010000802,1980,District of Columbia,11,110,District of Columbia,001,0010,000802,State: 11 County: 001 Tract: 8.02,2483,2325,67,0,9,,176,133,171,122,57,112,83,46,168,109,1246,,,,,,,,,,
G1100010000901,G1100010000901,1980,District of Columbia,11,110,District of Columbia,001,0010,000901,State: 11 County: 001 Tract: 9.01,5625,5127,313,10,103,,99,59,55,56,38,49,59,135,293,390,1302,,,,,,,,,,
G1100010000902,G1100010000902,1980,District of Columbia,11,110,District of Columbia,001,0010,000902,State: 11 County: 001 Tract: 9.02,1854,1775,71,0,28,,113,86,52,77,92,69,51,76,94,117,814,,,,,,,,,,
G1100010001001,G1100010001001,1980,District of Columbia,11,110,District of Columbia,001,0010,001001,State: 11 County: 001 Tract: 10.01,6267,6027,148,16,115,,405,211,257,208,229,215,237,279,467,141,2641,,,,,,,,,,
G1100010001002,G1100010001002,1980,District of Columbia,11,110,District of Columbia,001,0010,001002,State: 11 County: 001 Tract: 10.02,2071,1700,167,9,89,,345,202,175,116,78,77,21,42,63,13,1688,,,,,,,,,,
G1100010001100,G11000100011,1980,District of Columbia,11,110,District of Columbia,001,0010,001100,State: 11 County: 001 Tract: 11,4567,4194,169,0,183,,215,145,145,110,168,197,131,189,234,197,1873,,,,,,,,,,
G1100010001200,G11000100012,1980,District of Columbia,11,110,District of Columbia,001,0010,001200,State: 11 County: 001 Tract: 12,4910,4434,257,7,58,,313,304,337,274,299,191,132,235,350,81,2579,,,,,,,,,,
G1100010001301,G1100010001301,1980,District of Columbia,11,110,District of Columbia,001,0010,001301,State: 11 County: 001 Tract: 13.01,3515,3146,260,0,49,,288,212,271,189,221,89,38,121,203,270,1933,,,,,,,,,,
G1100010001302,G1100010001302,1980,District of Columbia,11,110,District of Columbia,001,0010,001302,State: 11 County: 001 Tract: 13.02,5486,4863,381,6,138,,735,642,734,521,354,264,187,287,261,107,4332,,,,,,,,,,
G1100010001400,G11000100014,1980,District of Columbia,11,110,District of Columbia,001,0010,001400,State: 11 County: 001 Tract: 14,6336,5689,391,5,175,,569,288,271,202,216,183,123,341,483,99,2837,,,,,,,,,,
G1100010001500,G11000100015,1980,District of Columbia,11,110,District of Columbia,001,0010,001500,State: 11 County: 001 Tract: 15,5579,4969,511,0,84,,238,119,204,116,70,126,157,343,534,268,2259,,,,,,,,,,
